id,name,role_description,init_att,gender,age,status,traits,interest,racist,education,economic
23,Felix Ferguson,"Felix Ferguson is a 58-year-old male Travel Agent who is conventional, confident and anxious, and has interests of folk music, attending festivals and doing intense workouts.",-0.0843006,male,58,Travel Agent,conventional;confident;anxious,folk music;attending festivals;doing intense workouts,hispanic,postgraduate,middle
24,Brooks Howell,"Brooks Howell is a 48-year-old female Dancer who is resistant, balanced and unreliable, and has interests of local history, hiking and trying random hobbies.",0.0207005,female,48,Dancer,resistant;balanced;unreliable,local history;hiking;trying random hobbies,black,postgraduate,high
25,Sadie Holmes,"Sadie Holmes is a 48-year-old male Physical Therapist who is adventurous, composed and cooperative, and has interests of new cultures, fishing and promoting positivity.",0.3281129,male,48,Physical Therapist,adventurous;composed;cooperative,new cultures;fishing;promoting positivity,asian,college,low
26,Felix Wheeler,"Felix Wheeler is a 38-year-old male Concierge who is unmotivated, taciturn and critical, and has interests of going to arcades, birdwatching and exploring conspiracy theories.",-0.0954676,male,38,Concierge,unmotivated;taciturn;critical,going to arcades;birdwatching;exploring conspiracy theories,white,postgraduate,low
27,Quentin Diaz,"Quentin Diaz is a 50-year-old male Chef who is taciturn, considerate and reactive, and has interests of drawing, mentoring and doing intense workouts.",0.1438214,male,50,Chef,taciturn;considerate;reactive,drawing;mentoring;doing intense workouts,asian,postgraduate,low
28,Lennox Boyd,"Lennox Boyd is a 32-year-old female Cybersecurity Analyst who is unreliable, understanding and secure, and has interests of going to arcades, encouraging teamwork and journaling.",0.2212153,female,32,Cybersecurity Analyst,unreliable;understanding;secure,going to arcades;encouraging teamwork;journaling,asian,high school,low
29,Mila Lucas,"Mila Lucas is a 41-year-old male Financial Manager who is cooperative, narrow-minded and solitary, and has interests of collaborating on projects, attending religious gatherings and journaling.",-0.3283061,male,41,Financial Manager,cooperative;narrow-minded;solitary,collaborating on projects;attending religious gatherings;journaling,other,high school,high
30,Aisling Kim,"Aisling Kim is a 66-year-old male Sales Executive who is intolerant, taciturn and broad-minded, and has interests of exploring conspiracy theories, practicing instruments and attending lectures.",-0.0437085,male,66,Sales Executive,intolerant;taciturn;broad-minded,exploring conspiracy theories;practicing instruments;attending lectures,white,high school,high
31,Hannah James,"Hannah James is a 45-year-old male Nurse who is distrustful, talkative and prejudiced, and has interests of solo sports, volunteering and learning family crafts.",0.0764991,male,45,Nurse,distrustful;talkative;prejudiced,solo sports;volunteering;learning family crafts,white,postgraduate,middle
32,Jesse Crawford,"Jesse Crawford is a 42-year-old male IT Support Specialist who is quiet, efficient and intolerant, and has interests of solving puzzles, setting priorities and writing critiques.",0.4997137,male,42,IT Support Specialist,quiet;efficient;intolerant,solving puzzles;setting priorities;writing critiques,white,postgraduate,low
33,Lennox Bush,"Lennox Bush is a 30-year-old female Chef who is solitary, broad-minded and resilient, and has interests of meditating, experimenting and yoga.",0.2185817,female,30,Chef,solitary;broad-minded;resilient,meditating;experimenting;yoga,other,college,low
34,Hudson Perez,"Hudson Perez is a 48-year-old female Environmental Scientist who is friendly, rigid and relaxed, and has interests of attending meetups, local history and knitting.",0.5697937,female,48,Environmental Scientist,friendly;rigid;relaxed,attending meetups;local history;knitting,white,postgraduate,middle
35,Jax Rogers,"Jax Rogers is a 29-year-old female Network Engineer who is shy, versatile and rude, and has interests of writing, virtual reality and courtroom dramas.",-0.3502435,female,29,Network Engineer,shy;versatile;rude,writing;virtual reality;courtroom dramas,asian,postgraduate,middle
36,James Chambers,"James Chambers is a 38-year-old male Event Planner who is unimaginative, unassertive and hostile, and has interests of reading biographies, learning languages and exploring conspiracy theories.",-0.0994034,male,38,Event Planner,unimaginative;unassertive;hostile,reading biographies;learning languages;exploring conspiracy theories,black,postgraduate,low
37,Genesis Porter,"Genesis Porter is a 59-year-old male Medical Researcher who is organized, reserved and uncooperative, and has interests of maintaining cleanliness, organizing personal spaces and creating satirical content.",0.659219,male,59,Medical Researcher,organized;reserved;uncooperative,maintaining cleanliness;organizing personal spaces;creating satirical content,other,college,high
38,Hadley Ruiz,"Hadley Ruiz is a 61-year-old male Housekeeping Supervisor who is punctual, taciturn and unconventional, and has interests of implementing systems, drawing and exploring music genres.",0.0526224,male,61,Housekeeping Supervisor,punctual;taciturn;unconventional,implementing systems;drawing;exploring music genres,asian,high school,high
39,Kade Webb,"Kade Webb is a 24-year-old male Physical Therapist who is unimaginative, sociable and irresponsible, and has interests of reading classic literature, participating in group activities and spontaneous photography.",0.1255712,male,24,Physical Therapist,unimaginative;sociable;irresponsible,reading classic literature;participating in group activities;spontaneous photography,hispanic,high school,low
40,Aaliyah Dixon,"Aaliyah Dixon is a 35-year-old female Chef who is warm, imaginative and taciturn, and has interests of joining social causes, visiting museums and birdwatching.",-0.3060656,female,35,Chef,warm;imaginative;taciturn,joining social causes;visiting museums;birdwatching,other,college,middle
41,Aaron Sims,"Aaron Sims is a 71-year-old female Copywriter who is traditional, assertive and grounded, and has interests of exploring genealogy, running and baking.",0.0920753,female,71,Copywriter,traditional;assertive;grounded,exploring genealogy;running;baking,black,high school,high
42,Landon Kennedy,"Landon Kennedy is a 43-year-old female Marketing Specialist who is energetic, resistant and irresponsible, and has interests of hiking, joining cultural clubs and trying random hobbies.",-0.0864578,female,43,Marketing Specialist,energetic;resistant;irresponsible,hiking;joining cultural clubs;trying random hobbies,other,high school,middle
43,Andrew Williamson,"Andrew Williamson is a 32-year-old female Communications Director who is sociable, dogmatic and indifferent, and has interests of shopping, classic movies and freestyling in music.",-0.3082095,female,32,Communications Director,sociable;dogmatic;indifferent,shopping;classic movies;freestyling in music,asian,high school,middle
44,Cambria Flores,"Cambria Flores is a 52-year-old female Hotel Manager who is selfish, neurotic and withdrawn, and has interests of writing critiques, adrenaline sports and meditating.",-0.771664,female,52,Hotel Manager,selfish;neurotic;withdrawn,writing critiques;adrenaline sports;meditating,asian,postgraduate,high
45,Scarlett Miles,"Scarlett Miles is a 57-year-old male Professor who is irritable, curious and energetic, and has interests of aromatherapy, different philosophies and playing team sports.",-0.0322635,male,57,Professor,irritable;curious;energetic,aromatherapy;different philosophies;playing team sports,asian,college,high
46,Marlowe Hughes,"Marlowe Hughes is a 49-year-old female Delivery Driver who is methodical, understanding and neurotic, and has interests of maintaining cleanliness, spreading kindness and attending support groups.",0.4013763,female,49,Delivery Driver,methodical;understanding;neurotic,maintaining cleanliness;spreading kindness;attending support groups,black,college,low
47,Jasper Pena,"Jasper Pena is a 46-year-old male Social Media Manager who is imaginative, solitary and negligent, and has interests of attending art galleries, drawing and attending spontaneous events.",-0.335711,male,46,Social Media Manager,imaginative;solitary;negligent,attending art galleries;drawing;attending spontaneous events,other,postgraduate,high
48,Jaxson Romero,"Jaxson Romero is a 60-year-old female Special Education Teacher who is rigid, taciturn and composed, and has interests of volunteering in heritage preservation, organizing personal spaces and painting.",-0.3041374,female,60,Special Education Teacher,rigid;taciturn;composed,volunteering in heritage preservation;organizing personal spaces;painting,hispanic,college,low
49,Joseph Campbell,"Joseph Campbell is a 58-year-old female Pharmacist who is argumentative, unmotivated and anxious, and has interests of courtroom dramas, watching reality shows and journaling emotions.",0.0356022,female,58,Pharmacist,argumentative;unmotivated;anxious,courtroom dramas;watching reality shows;journaling emotions,black,high school,low
50,Orion Turner,"Orion Turner is a 47-year-old male Forensic Analyst who is stubborn, solitary and careless, and has interests of joining debate clubs, baking and trying random hobbies.",0.0074962,male,47,Forensic Analyst,stubborn;solitary;careless,joining debate clubs;baking;trying random hobbies,white,high school,low
51,Amira Ford,"Amira Ford is a 46-year-old female Astronomer who is critical, volatile and procrastinating, and has interests of engaging in intellectual discussions, poetry and trying street food.",-0.4235882,female,46,Astronomer,critical;volatile;procrastinating,engaging in intellectual discussions;poetry;trying street food,black,college,low
52,Alina Mitchell,"Alina Mitchell is a 46-year-old male Forensic Analyst who is imaginative, composed and punctual, and has interests of attending art galleries, listening to music and documenting progress.",0.242836,male,46,Forensic Analyst,imaginative;composed;punctual,attending art galleries;listening to music;documenting progress,hispanic,postgraduate,high
53,Peyton Nichols,"Peyton Nichols is a 23-year-old female Shipping Manager who is careless, enthusiastic and insecure, and has interests of daydreaming, dancing and exploring mindfulness techniques.",0.5292571,female,23,Shipping Manager,careless;enthusiastic;insecure,daydreaming;dancing;exploring mindfulness techniques,other,college,high
54,Skylar Ford,"Skylar Ford is a 52-year-old female Biologist who is original, considerate and reclusive, and has interests of visiting museums, counseling and stargazing.",-0.4016842,female,52,Biologist,original;considerate;reclusive,visiting museums;counseling;stargazing,hispanic,college,low
55,Ty Stone,"Ty Stone is a 26-year-old male Research Scientist who is original, sensitive and quiet, and has interests of visiting museums, blogging about feelings and birdwatching.",0.2032635,male,26,Research Scientist,original;sensitive;quiet,visiting museums;blogging about feelings;birdwatching,hispanic,high school,middle
56,Beckett Turner,"Beckett Turner is a 25-year-old male Health Educator who is volatile, inhibited and intolerant, and has interests of doing intense workouts, practicing instruments and debating topics.",0.0607697,male,25,Health Educator,volatile;inhibited;intolerant,doing intense workouts;practicing instruments;debating topics,black,high school,low
57,Zara Vaughn,"Zara Vaughn is a 36-year-old female Data Analyst who is irresponsible, anxious and outgoing, and has interests of impulse shopping, exploring mindfulness techniques and running.",0.0976837,female,36,Data Analyst,irresponsible;anxious;outgoing,impulse shopping;exploring mindfulness techniques;running,asian,postgraduate,low
58,Harper Pearson,"Harper Pearson is a 63-year-old male Journalist who is lively, reliable and argumentative, and has interests of cooking, following routines and writing critiques.",0.0707953,male,63,Journalist,lively;reliable;argumentative,cooking;following routines;writing critiques,white,college,middle
59,Felix Lane,"Felix Lane is a 19-year-old male Physician who is versatile, solitary and stubborn, and has interests of different philosophies, drawing and competitive sports.",0.2616948,male,19,Physician,versatile;solitary;stubborn,different philosophies;drawing;competitive sports,white,college,high
60,Stella Chapman,"Stella Chapman is a 37-year-old female Curriculum Developer who is anxious, rude and thorough, and has interests of taking personality quizzes, solo sports and learning new skills.",-0.13895,female,37,Curriculum Developer,anxious;rude;thorough,taking personality quizzes;solo sports;learning new skills,hispanic,postgraduate,low
61,Mia Patterson,"Mia Patterson is a 62-year-old male Product Manager who is narrow-minded, negligent and compassionate, and has interests of gardening heirloom plants, trying random hobbies and organizing events.",-0.2854578,male,62,Product Manager,narrow-minded;negligent;compassionate,gardening heirloom plants;trying random hobbies;organizing events,white,high school,low
62,Calliope Baker,"Calliope Baker is a 77-year-old female Education Policy Analyst who is stubborn, inflexible and responsible, and has interests of analyzing political ideologies, gardening heirloom plants and budgeting.",0.7385833,female,77,Education Policy Analyst,stubborn;inflexible;responsible,analyzing political ideologies;gardening heirloom plants;budgeting,asian,college,middle
63,Lily Bowman,"Lily Bowman is a 45-year-old female Actor who is withdrawn, detail-oriented and neurotic, and has interests of listening to music, goal setting and aromatherapy.",0.0705627,female,45,Actor,withdrawn;detail-oriented;neurotic,listening to music;goal setting;aromatherapy,black,college,low
64,Leo Terry,"Leo Terry is a 31-year-old female Photographer who is considerate, reliable and resilient, and has interests of counseling, maintaining cleanliness and stargazing.",-0.1340677,female,31,Photographer,considerate;reliable;resilient,counseling;maintaining cleanliness;stargazing,hispanic,high school,middle
65,Raina Walters,"Raina Walters is a 84-year-old female Customer Service Representative who is original, lazy and unsympathetic, and has interests of exploring music genres, daydreaming and analyzing political ideologies.",-0.3209831,female,84,Customer Service Representative,original;lazy;unsympathetic,exploring music genres;daydreaming;analyzing political ideologies,hispanic,college,high
66,Ella Franklin,"Ella Franklin is a 36-year-old female Cybersecurity Analyst who is efficient, solitary and dogmatic, and has interests of goal setting, meditating and folk music.",0.1309232,female,36,Cybersecurity Analyst,efficient;solitary;dogmatic,goal setting;meditating;folk music,black,college,low
67,Tessa Dawson,"Tessa Dawson is a 52-year-old female Traffic Engineer who is reserved, disciplined and apathetic, and has interests of watching movies, time management and writing letters.",0.1243117,female,52,Traffic Engineer,reserved;disciplined;apathetic,watching movies;time management;writing letters,black,high school,high
68,Willow Perkins,"Willow Perkins is a 39-year-old female Actor who is reactive, kind and irresponsible, and has interests of drama, helping others and daydreaming.",-0.3461952,female,39,Actor,reactive;kind;irresponsible,drama;helping others;daydreaming,asian,high school,low
69,Callan Hale,"Callan Hale is a 42-year-old male Content Writer who is critical, open-minded and unflappable, and has interests of exploring conspiracy theories, experimenting and meditation.",0.6491337,male,42,Content Writer,critical;open-minded;unflappable,exploring conspiracy theories;experimenting;meditation,other,postgraduate,middle
70,Mila Miller,"Mila Miller is a 45-year-old male Software Developer who is assertive, impulsive and hostile, and has interests of shopping, drama and exploring conspiracy theories.",0.050394,male,45,Software Developer,assertive;impulsive;hostile,shopping;drama;exploring conspiracy theories,other,high school,middle
71,Claire Barrett,"Claire Barrett is a 75-year-old male Librarian who is unconventional, trustworthy and resilient, and has interests of new cultures, empowering others and photography.",0.247868,male,75,Librarian,unconventional;trustworthy;resilient,new cultures;empowering others;photography,asian,postgraduate,high
72,Damon Romero,"Damon Romero is a 71-year-old male Cybersecurity Analyst who is resilient, unimaginative and forgetful, and has interests of painting, local history and exploring social media.",0.02938,male,71,Cybersecurity Analyst,resilient;unimaginative;forgetful,painting;local history;exploring social media,black,high school,low
73,Hudson Baker,"Hudson Baker is a 62-year-old female Criminal Investigator who is uncooperative, thorough and steady, and has interests of solo sports, completing tasks and yoga.",-0.1266077,female,62,Criminal Investigator,uncooperative;thorough;steady,solo sports;completing tasks;yoga,white,college,high
74,Bella Howard,"Bella Howard is a 49-year-old female Journalist who is adventurous, lazy and rude, and has interests of socializing, hanging out aimlessly and solo sports.",-0.2349088,female,49,Journalist,adventurous;lazy;rude,socializing;hanging out aimlessly;solo sports,asian,high school,high
75,Dahlia Mitchell,"Dahlia Mitchell is a 39-year-old female Geologist who is reactive, friendly and prejudiced, and has interests of drama, helping others and reading biographies.",-0.0278412,female,39,Geologist,reactive;friendly;prejudiced,drama;helping others;reading biographies,asian,college,low
76,Felix Garza,"Felix Garza is a 24-year-old female Restaurant Manager who is grounded, broad-minded and critical, and has interests of fishing, new technology and philosophy.",0.0740694,female,24,Restaurant Manager,grounded;broad-minded;critical,fishing;new technology;philosophy,other,high school,low
77,Samantha McDonald,"Samantha McDonald is a 28-year-old male Network Engineer who is methodical, prejudiced and unsympathetic, and has interests of analyzing data, classic movies and creating satirical content.",-0.0327259,male,28,Network Engineer,methodical;prejudiced;unsympathetic,analyzing data;classic movies;creating satirical content,hispanic,college,high
78,Sydney McDaniel,"Sydney McDaniel is a 37-year-old female Airline Pilot who is anxious, curious and trustworthy, and has interests of adrenaline sports, participating in hackathons and mentoring.",0.1464117,female,37,Airline Pilot,anxious;curious;trustworthy,adrenaline sports;participating in hackathons;mentoring,black,postgraduate,middle
79,Brooks Dixon,"Brooks Dixon is a 52-year-old female Medical Researcher who is outgoing, detail-oriented and critical, and has interests of participating in group activities, implementing systems and joining debate clubs.",-0.2645828,female,52,Medical Researcher,outgoing;detail-oriented;critical,participating in group activities;implementing systems;joining debate clubs,asian,postgraduate,low
80,Makayla Wright,"Makayla Wright is a 47-year-old female Data Analyst who is stubborn, irritable and punctual, and has interests of dissecting movies and books, video games and planning.",-0.4244698,female,47,Data Analyst,stubborn;irritable;punctual,dissecting movies and books;video games;planning,white,postgraduate,high
81,Liam Lambert,"Liam Lambert is a 28-year-old female Journalist who is negligent, sensitive and inflexible, and has interests of DIY projects, movies and writing letters.",-0.2594656,female,28,Journalist,negligent;sensitive;inflexible,DIY projects;movies;writing letters,asian,college,high
82,Zara Hanson,"Zara Hanson is a 30-year-old female Brand Strategist who is steady, confident and friendly, and has interests of photography, participating in group activities and mediating conflicts.",-0.3336592,female,30,Brand Strategist,steady;confident;friendly,photography;participating in group activities;mediating conflicts,hispanic,high school,high
83,Selene Gonzalez,"Selene Gonzalez is a 35-year-old male Advertising Executive who is argumentative, diligent and relaxed, and has interests of chess strategies, researching and stargazing.",-0.3280028,male,35,Advertising Executive,argumentative;diligent;relaxed,chess strategies;researching;stargazing,asian,high school,high
84,Apollo Roberts,"Apollo Roberts is a 46-year-old female Tutor who is empathetic, reflective and resistant, and has interests of advocating for others, knitting and learning calligraphy.",0.5058567,female,46,Tutor,empathetic;reflective;resistant,advocating for others;knitting;learning calligraphy,asian,high school,low
85,Tilly Lowe,"Tilly Lowe is a 28-year-old female Tour Guide who is detail-oriented, impulsive and outgoing, and has interests of meeting deadlines, exploring mindfulness techniques and attending festivals.",0.5012449,female,28,Tour Guide,detail-oriented;impulsive;outgoing,meeting deadlines;exploring mindfulness techniques;attending festivals,white,college,high
86,Miles Vargas,"Miles Vargas is a 62-year-old male Communications Director who is friendly, volatile and unreliable, and has interests of participating in group activities, poetry and impulse shopping.",0.0402392,male,62,Communications Director,friendly;volatile;unreliable,participating in group activities;poetry;impulse shopping,other,postgraduate,high
87,Claire Garrett,"Claire Garrett is a 23-year-old male Traffic Engineer who is thorough, sensitive and critical, and has interests of tracking progress, abstract art and debating topics.",0.1046888,male,23,Traffic Engineer,thorough;sensitive;critical,tracking progress;abstract art;debating topics,other,college,low
88,Brooklyn Larson,"Brooklyn Larson is a 30-year-old female Dispatcher who is open-minded, grounded and reflective, and has interests of new cuisines, photography and reading.",0.4611709,female,30,Dispatcher,open-minded;grounded;reflective,new cuisines;photography;reading,asian,college,middle
89,Iris Luna,"Iris Luna is a 37-year-old female Rail Operator who is rigid, methodical and impulsive, and has interests of antiques, learning new skills and drama.",-0.1465782,female,37,Rail Operator,rigid;methodical;impulsive,antiques;learning new skills;drama,hispanic,high school,low
90,Isaac Ford,"Isaac Ford is a 56-year-old female Transportation Planner who is uncooperative, shy and adventurous, and has interests of philosophy, studying and different philosophies.",0.2351324,female,56,Transportation Planner,uncooperative;shy;adventurous,philosophy;studying;different philosophies,hispanic,college,high
91,Darius Moreno,"Darius Moreno is a 40-year-old male Geologist who is dogmatic, calm and compassionate, and has interests of learning family crafts, photography and mediating conflicts.",0.1848427,male,40,Geologist,dogmatic;calm;compassionate,learning family crafts;photography;mediating conflicts,hispanic,high school,low
92,Amaya Ortiz,"Amaya Ortiz is a 41-year-old female Graphic Designer who is imaginative, cooperative and balanced, and has interests of virtual reality, helping others and swimming.",0.3369955,female,41,Graphic Designer,imaginative;cooperative;balanced,virtual reality;helping others;swimming,white,college,high
93,Sophia Fox,"Sophia Fox is a 48-year-old male Content Writer who is resistant, compassionate and unmotivated, and has interests of volunteering in heritage preservation, community service and impulse shopping.",-0.2955092,male,48,Content Writer,resistant;compassionate;unmotivated,volunteering in heritage preservation;community service;impulse shopping,asian,high school,middle
94,Cruz Hall,"Cruz Hall is a 35-year-old female Restaurant Manager who is talkative, stubborn and unflappable, and has interests of meeting new people, martial arts and watching movies.",0.0996685,female,35,Restaurant Manager,talkative;stubborn;unflappable,meeting new people;martial arts;watching movies,white,college,high
95,Charles Dixon,"Charles Dixon is a 21-year-old female Instructional Designer who is disciplined, reactive and friendly, and has interests of documenting progress, following mood-boosting routines and exploring new places.",0.5909529,female,21,Instructional Designer,disciplined;reactive;friendly,documenting progress;following mood-boosting routines;exploring new places,other,high school,middle
96,Ophelia Ramirez,"Ophelia Ramirez is a 41-year-old male Data Scientist who is unconventional, negligent and understanding, and has interests of designing, sketching freely and counseling.",0.6190559,male,41,Data Scientist,unconventional;negligent;understanding,designing;sketching freely;counseling,black,college,high
97,Scarlett Lawson,"Scarlett Lawson is a 42-year-old male Dancer who is reserved, neurotic and compassionate, and has interests of meditating, creating mood boards and teaching.",0.0864229,male,42,Dancer,reserved;neurotic;compassionate,meditating;creating mood boards;teaching,other,postgraduate,high
98,Natalie Montgomery,"Natalie Montgomery is a 21-year-old female Air Traffic Controller who is calm, kind and resistant, and has interests of fishing, mentoring and exploring genealogy.",-0.4389865,female,21,Air Traffic Controller,calm;kind;resistant,fishing;mentoring;exploring genealogy,other,postgraduate,high
99,Olivia Reed,"Olivia Reed is a 19-year-old male Graphic Designer who is friendly, lively and narrow-minded, and has interests of joining social causes, shopping and writing letters.",0.1412571,male,19,Graphic Designer,friendly;lively;narrow-minded,joining social causes;shopping;writing letters,white,postgraduate,low
100,Darius Johnson,"Darius Johnson is a 68-year-old male Filmmaker who is uncooperative, punctual and resilient, and has interests of dissecting movies and books, budgeting and fishing.",0.0570727,male,68,Filmmaker,uncooperative;punctual;resilient,dissecting movies and books;budgeting;fishing,asian,postgraduate,middle
101,Jax Gibson,"Jax Gibson is a 30-year-old male Account Executive who is hostile, traditional and negligent, and has interests of solo sports, joining cultural clubs and hanging out aimlessly.",-0.5609981,male,30,Account Executive,hostile;traditional;negligent,solo sports;joining cultural clubs;hanging out aimlessly,white,postgraduate,middle
102,Thea Harding,"Thea Harding is a 64-year-old female Community Liaison Officer who is adventurous, shy and compassionate, and has interests of new technology, stargazing and participating in group activities.",-0.2225838,female,64,Community Liaison Officer,adventurous;shy;compassionate,new technology;stargazing;participating in group activities,asian,college,middle
103,Carter Jacobs,"Carter Jacobs is a 38-year-old female Broadcast Journalist who is composed, versatile and friendly, and has interests of watching movies, inventing and hosting events.",0.463221,female,38,Broadcast Journalist,composed;versatile;friendly,watching movies;inventing;hosting events,other,college,low
104,Harrison Sims,"Harrison Sims is a 22-year-old male Nurse who is secure, punctual and considerate, and has interests of gardening, meeting deadlines and attending community meetings.",0.0806082,male,22,Nurse,secure;punctual;considerate,gardening;meeting deadlines;attending community meetings,other,postgraduate,middle
105,Christopher Browning,"Christopher Browning is a 39-year-old female Delivery Driver who is assertive, calm and generous, and has interests of exploring new places, knitting and spreading kindness.",-0.2015383,female,39,Delivery Driver,assertive;calm;generous,exploring new places;knitting;spreading kindness,black,postgraduate,middle
106,Carter Edwards,"Carter Edwards is a 50-year-old female Delivery Driver who is rigid, kind and solitary, and has interests of baking traditional recipes, advocating for others and reading.",0.1439324,female,50,Delivery Driver,rigid;kind;solitary,baking traditional recipes;advocating for others;reading,asian,postgraduate,middle
