id,name,gender,status,traits,interest,birth,memory
78,Addison Stewart,male,Criminal Investigator,adventurous;neurotic;unreliable,attending workshops;melancholic music;casual games,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
79,Zara Santiago,female,Editor,withdrawn;open-minded;indifferent,watching movies;exploring;trying random hobbies,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
80,Isaac Cole,male,Human Resources Manager,creative;volatile;inhibited,new cuisines;following mood-boosting routines;solving puzzles,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
81,Ella Holt,male,Truck Driver,dogmatic;trustworthy;insecure,crafting with natural materials;supporting charities;creating mood boards,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
82,Finley Norris,male,Housekeeping Supervisor,negligent;distrustful;curious,procrastinating projects;joining debate clubs;visiting museums,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
83,Silas Hawkins,male,Geologist,thorough;conventional;reserved,budgeting;gardening heirloom plants;gardening,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
84,Oscar Shaw,female,Tour Guide,quiet;unconventional;rude,solving puzzles;creating art;creating satirical content,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
85,Carter May,male,Journalist,reclusive;impulsive;understanding,knitting;journaling emotions;mentoring,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
86,Zander Day,female,School Counselor,inflexible;shy;reliable,reading classic literature;organizing personal spaces;maintaining cleanliness,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
87,Hudson Watkins,female,Physicist,cooperative;responsible;open-minded,community service;learning new skills;designing,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
88,Amelia Bell,female,Tutor,composed;hostile;resistant,hiking;reviewing products critically;crafting with natural materials,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
89,Colton Smith,male,Event Planner,distrustful;shy;unmotivated,writing critiques;practicing instruments;casual games,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
90,Mila James,male,Education Policy Analyst,reliable;anxious;broad-minded,developing strategies;adrenaline sports;new languages,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
91,Felix Riley,female,Digital Marketing Specialist,reactive;innovative;adventurous,keeping a dream journal;virtual reality;socializing,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
92,Nevaeh Gonzales,male,Physician,dogmatic;enthusiastic;selfish,learning calligraphy;meeting new people;competitive sports,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
93,Lily Foster,female,Filmmaker,calm;shy;prejudiced,meditation;walking alone;classic movies,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
94,Peter Peterson,male,Concierge,traditional;negligent;cooperative,reading classic literature;trying street food;joining social causes,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
95,Landon Meyer,female,Correctional Officer,unconventional;reflective;organized,creating art;walking alone;meeting deadlines,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
96,Arthur Hale,male,Human Resources Manager,inhibited;reliable;critical,playing single-player games;meeting deadlines;writing opinion pieces,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
97,Felix Carr,female,Community Liaison Officer,irritable;disciplined;adventurous,abstract art;meeting deadlines;cooking,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
98,Iris Herrera,male,Marine Biologist,imaginative;insecure;diligent,experimenting;following mood-boosting routines;organizing,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
99,Giselle Carter,female,Rail Operator,warm;organized;versatile,counseling;following routines;virtual reality,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
100,Mabel Boyd,female,Event Planner,uncooperative;rigid;relaxed,analyzing political ideologies;traditions;gardening,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
101,Ella James,male,Data Analyst,unflappable;broad-minded;forgetful,hiking;inventing;attending spontaneous events,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
102,Landon Dean,female,Community Liaison Officer,reserved;grounded;distrustful,stargazing;running;dissecting movies and books,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
103,Zachary Robinson,female,Restaurant Manager,reclusive;friendly;resistant,practicing instruments;spreading kindness;gardening heirloom plants,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
104,Avery King,male,Air Traffic Controller,imaginative;trustworthy;balanced,participating in hackathons;building relationships;watching movies,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
105,Poppy Harris,male,Transportation Planner,critical;apathetic;impulsive,competitive sports;learning family crafts;poetry,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
106,Zeke Harris,male,Geologist,friendly;versatile;cooperative,cooking;exploring music genres;empowering others,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
107,Aiden Walker,female,Occupational Therapist,friendly;irritable;organized,collaborating on projects;making vision boards;documenting progress,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
108,Selene Perkins,male,Dental Hygienist,stubborn;reclusive;irresponsible,creating satirical content;writing;party games,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
109,Orion Cooke,male,Broadcast Journalist,punctual;creative;unflappable,meeting deadlines;debates;nature walks,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
110,Camila Black,male,Project Manager,open-minded;thorough;talkative,participating in hackathons;goal setting;attending festivals,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
111,Iris Gregory,female,Environmental Scientist,compassionate;taciturn;anxious,attending community meetings;watching movies;journaling emotions,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
112,Rocco Kelley,male,Nurse,assertive;detail-oriented;hostile,attending festivals;completing tasks;studying negotiation techniques,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
113,Amira Norris,male,Health Educator,hostile;composed;efficient,martial arts;painting;researching,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
114,Hayley Hanson,male,Nurse,disciplined;understanding;sociable,setting priorities;organizing events;joining clubs,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
115,Malik Ortiz,female,Biologist,stubborn;reflective;level-headed,creating satirical content;stargazing;cooking,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
116,Orion Jaramillo,male,Occupational Therapist,disciplined;prejudiced;relaxed,organizing;baking traditional recipes;watching movies,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
117,Nolan Bell,male,Detective,negligent;adventurous;solitary,binge-watching series;attending workshops;learning languages,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
118,Ella Schmidt,male,Accountant,volatile;inflexible;adventurous,movies;attending local fairs;going to parties,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
119,Autumn Green,male,Project Manager,open-minded;calm;cooperative,experimenting;cooking;empowering others,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
120,Orion Fleming,female,Cybersecurity Analyst,creative;moody;critical,creating art;taking personality quizzes;building arguments,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
121,Ashton Brooks,female,Account Executive,quiet;steady;warm,learning languages;baking;helping others,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
122,Jett Rhodes,female,Actor,reflective;rigid;irritable,meditating;baking traditional recipes;movies,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
123,Grace Reynolds,male,Brand Strategist,sociable;disorganized;level-headed,volunteering;daydreaming;yoga,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
124,Finnian Andrews,female,Communications Director,enthusiastic;insecure;detail-oriented,hosting events;drama;setting priorities,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
125,Leah Gross,male,Operations Manager,secure;assertive;adventurous,knitting;partying;writing,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
126,Natalie Harding,male,Chef,taciturn;anxious;negligent,reading;drama;comedy shows,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
127,Emilia Cunningham,female,Business Analyst,innovative;talkative;distrustful,exploring music genres;meeting new people;creating satirical content,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
128,Sebastian Vasquez,female,Dispatcher,diligent;calm;inhibited,following routines;hiking;reading,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
129,Julia Frazier,female,Education Policy Analyst,reliable;energetic;intolerant,setting priorities;meeting new people;building arguments,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
130,Dorian Wood,female,Librarian,anxious;broad-minded;detail-oriented,abstract art;exploring;goal setting,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
131,Eli Nichols,female,Chemist,open-minded;unmotivated;secure,diverse literature;DIY projects;hiking,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
132,Mabel Ortiz,female,Lab Technician,balanced;inflexible;inhibited,playing musical instruments;folk music;drawing,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
133,Zara Ortiz,female,Truck Driver,careless;inhibited;unimaginative,going to arcades;stargazing;exploring genealogy,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
134,Leonard Holt,male,Housekeeping Supervisor,friendly;neurotic;considerate,dancing;journaling emotions;fundraising,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
135,Alina Watson,female,Pharmacist,open-minded;unflappable;unassertive,virtual reality;running;knitting,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
136,Gemma Austin,female,Speechwriter,warm;reserved;open-minded,promoting positivity;playing single-player games;debates,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
137,Zachary George,male,Trade Show Manager,punctual;resistant;talkative,setting priorities;antiques;attending meetups,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
138,Carter Jaramillo,male,Physician,stubborn;unpredictable;energetic,reviewing products critically;movies;attending festivals,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
139,Clara Gomez,male,Environmental Scientist,resistant;warm;unflappable,antiques;helping others;birdwatching,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
140,Skylar Carr,male,Data Scientist,diligent;warm;resistant,setting priorities;participating in group activities;watching documentaries,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
141,Weston Simmons,female,Logistics Coordinator,moody;unmotivated;rigid,abstract art;going to arcades;writing letters,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
